663806,3,2005-07-07
1432761,3,2005-07-07
2152963,2,2005-07-13
2201376,3,2005-07-14
1987434,3,2005-07-15
1770762,4,2005-07-25
1227848,3,2005-07-27
233058,2,2005-07-28
2270088,4,2005-08-06
1519388,4,2005-08-09
2560405,4,2005-08-12
2451053,2,2005-08-14
326875,4,2005-08-17
31522,3,2005-08-18
612865,3,2005-08-27
2088422,4,2005-04-03
2042246,3,2005-03-16
141932,2,2005-03-18
2280038,2,2005-03-18
1386741,2,2005-03-27
923325,3,2005-03-28
1574786,4,2005-03-29
1765381,3,2005-04-09
698478,3,2005-04-26
2616301,5,2005-04-29
2112389,4,2005-04-29
198560,3,2005-05-02
2241806,4,2005-05-04
1818178,3,2005-05-18
853261,3,2005-05-23
1048199,2,2005-05-28
1046513,3,2005-05-30
47501,3,2005-05-31
1149472,3,2005-06-01
57661,3,2005-06-06
1488844,2,2005-06-07
31458,2,2005-06-09
369341,5,2005-06-16
2246782,3,2005-06-18
1697479,5,2005-06-21
1844276,3,2005-06-22
2111422,5,2005-06-30
2445069,4,2005-07-03
471426,3,2005-09-19
1265764,2,2005-09-24
1189990,5,2005-10-04
1563878,5,2005-10-05
2309436,2,2005-10-10
759018,4,2005-10-12
2263006,5,2005-10-16
1986678,5,2005-10-18
1435849,3,2005-10-19
506410,3,2005-10-19
1444966,4,2005-10-20
1688952,4,2005-10-24
1443524,3,2005-10-30
15826,4,2005-10-30
762355,4,2005-11-01
307049,3,2005-11-01
1421919,2,2005-11-08
272764,4,2005-11-15
185150,3,2005-11-20
962487,3,2005-11-25
469857,3,2005-11-27
580700,5,2005-11-30
2156241,5,2005-12-02
889439,3,2005-12-06
550836,4,2005-12-06
1780909,3,2005-12-06
2366007,3,2005-12-29
1985176,4,2005-12-30
2448711,2,2005-07-06
847027,4,2005-07-12
1855457,3,2005-07-13
2492525,4,2005-07-14
2285616,3,2005-08-12
629108,4,2005-07-19
1101043,3,2005-08-03
740947,4,2005-08-04
1660327,4,2005-08-07
1694062,4,2005-08-10
725633,4,2005-08-16
2603158,4,2005-08-28
953368,3,2005-03-21
2368961,4,2005-03-21
2061241,3,2005-03-22
501759,3,2005-03-23
819870,3,2005-03-23
1861822,3,2005-03-23
1186746,5,2005-03-27
1245593,3,2005-03-29
602860,5,2005-03-31
532474,4,2005-04-15
1790332,5,2005-04-18
1308505,3,2005-04-18
1656837,1,2005-04-21
2634523,3,2005-04-25
2540855,4,2005-05-11
906645,3,2005-05-15
699406,4,2005-05-16
2082617,3,2005-05-22
76176,4,2005-05-23
2459251,2,2005-05-28
1666394,4,2005-06-01
2201076,3,2005-06-03
401290,5,2005-06-04
1467952,3,2005-06-04
529698,5,2005-06-05
697600,4,2005-06-06
2167325,5,2005-06-11
914508,4,2005-06-12
2575392,3,2005-06-17
2583426,2,2005-06-23
2631285,5,2005-06-21
2229990,2,2005-06-27
677522,1,2005-06-27
1249706,3,2005-06-27
175887,3,2005-06-28
949442,4,2005-06-30
308232,3,2005-07-03
1688502,5,2005-07-03
1982309,1,2005-09-26
723011,4,2005-09-29
1333163,5,2005-09-30
885635,4,2005-10-02
1547962,4,2005-10-05
1288924,3,2005-10-06
1098851,4,2005-10-07
205755,3,2005-10-08
2071637,4,2005-10-09
384869,3,2005-10-12
1000287,3,2005-10-16
147141,5,2005-10-18
955383,4,2005-10-18
1898008,3,2005-10-19
2609870,1,2005-11-01
794977,2,2005-11-05
1645678,4,2005-11-05
1000991,4,2005-11-06
1164637,3,2005-11-07
2413406,2,2005-11-10
1598077,3,2005-11-12
2060090,2,2005-11-16
922829,5,2005-12-02
818766,3,2005-12-04
2141324,5,2005-12-04
